央视频道,#genre#
CCTV1,http://82.157.249.28:4009/ys/ysp.php?c=cctv1
CCTV2,http://82.157.249.28:4009/ys/ysp.php?c=cctv2
CCTV3,http://82.157.249.28:4009/ys/ysp.php?c=cctv3
CCTV4,http://82.157.249.28:4009/ys/ysp.php?c=cctv4
CCTV5,http://82.157.249.28:4009/ys/ysp.php?c=cctv5
CCTV5+,http://82.157.249.28:4009/ys/ysp.php?c=cctv5p
CCTV6,http://82.157.249.28:4009/ys/ysp.php?c=cctv6
CCTV7,http://82.157.249.28:4009/ys/ysp.php?c=cctv7
CCTV8,http://82.157.249.28:4009/ys/ysp.php?c=cctv8
CCTV9,http://82.157.249.28:4009/ys/ysp.php?c=cctv9
CCTV10,http://82.157.249.28:4009/ys/ysp.php?c=cctv10
CCTV11,http://82.157.249.28:4009/ys/ysp.php?c=cctv11
CCTV12,http://82.157.249.28:4009/ys/ysp.php?c=cctv12
CCTV13,http://82.157.249.28:4009/ys/ysp.php?c=cctv13
CCTV14,http://82.157.249.28:4009/ys/ysp.php?c=cctv14
CCTV15,http://82.157.249.28:4009/ys/ysp.php?c=cctv15
CCTV16,http://82.157.249.28:4009/ys/ysp.php?c=cctv16
CCTV17,http://82.157.249.28:4009/ys/ysp.php?c=cctv17

CCTV1,http://A/ku9/py/socks5.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-1H265_4000.m3u8
CCTV2,http://A/ku9/py/socks5.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-2H265_4000.m3u8
CCTV3,http://A/ku9/py/socks5.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-3H265_4000.m3u8
CCTV4,http://A/ku9/py/socks5.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-4H265_4000.m3u8
CCTV4K,http://A/ku9/py/socks5.py?u=http://edge-cache02.live3.omd.sc96655.com/live/ys4Kcq_2000.m3u8
CCTV5,http://A/ku9/py/socks5.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-5H265_4000.m3u8
CCTV5+,http://A/ku9/py/socks5.py?u=http://edge-cache02.live3.omd.sc96655.com/live/CCTV-5plusH265_4000.m3u8
